40666,-0.00883,1.238464,-0.00073,0.008563,0.602134,0.60353631.02.4021.241567
40766,-0.01332,1.213008,-0.00443,0.006462,0.646510,0.645214105.03.78452.092164
40866,-0.01577,1.198683,-0.00900,0.010446,0.673639,0.669609162.03.8293332.135291
40966,-0.01015,1.238467,-0.00170,0.007876,0.515918,0.517191222.03.8091252.275341
41066,-0.00946,1.239023,0.000817,0.004222,0.574527,0.576451297.03.86972.479994
41166,-0.00924,1.242705,-0.00107,0.008518,0.644655,0.645239353.03.823252.460996
41266,-0.01091,1.220701,-0.00165,0.005903,0.647573,0.647485439.04.0046422.594179
41366,-0.01035,1.233882,-0.00115,0.006275,0.632408,0.633406490.03.9111872.518672
41466,-0.00021,1.267357,0.005599,0.013718,0.722646,0.726946548.03.89252.500590
41566,-0.01131,1.250015,-0.00433,0.011052,0.720000,0.718468630.04.079252.536980
41666,-0.01014,1.257493,-0.00144,0.007748,0.681090,0.680854669.03.9669542.428922
41766,-0.01268,1.275429,-0.00472,0.009607,0.617754,0.615335733.04.0455412.444359
41866,-0.00864,1.254589,0.000513,0.006776,0.626399,0.628256789.04.0041532.439321
41966,-0.01370,1.243257,-0.00620,0.009850,0.722239,0.719993853.04.0163212.431255
42066,-0.01112,1.252788,-0.00099,0.004810,0.542635,0.543641921.04.02062.463427
42166,-0.01164,1.244904,-0.00220,0.006015,0.619658,0.619089994.04.0646252.507385
42266,-0.01345,1.245008,-0.00327,0.004542,0.600257,0.5992261062.04.0410292.527795
42366,-0.00619,1.247100,0.000685,0.011180,0.685786,0.6889741128.04.0390272.525672
42466,-0.01168,1.240921,-0.00355,0.008553,0.669184,0.6684181189.04.0414732.517446
42566,-0.00210,1.258205,0.004926,0.011096,0.733254,0.7382291248.04.003052.506726
42666,-0.01192,1.250179,-0.00381,0.008788,0.646249,0.6454841317.04.0397612.514555
42766,-0.01766,1.263982,-0.01011,0.010171,0.559425,0.5534771359.04.0714312.479000
42866,-0.00871,1.260496,1.650252,0.007738,0.607089,0.6092221422.04.0691732.492597
42966,-0.01273,1.227112,-0.00441,0.007913,0.612495,0.6130631479.04.0598952.481322
43066,-0.00970,1.246305,-0.00255,0.010614,0.643168,0.6450231536.04.05862.468762
43166,-0.00562,1.241880,0.000748,0.012099,0.710966,0.7139561582.04.0334232.438574
43266,-0.00900,1.232757,-0.00193,0.010511,0.759132,0.7582881653.04.0783882.435668
43366,-0.01491,1.235934,-0.00576,0.006409,0.700138,0.6981291717.04.0700352.441314
43466,0.001348,1.254113,0.006737,0.014303,0.761082,0.7659361765.04.0487062.416788
