99,0.004991,1.359511,0.016280,0.004612,-0.08183,-0.06929,5.0,3.791,3.350178
199,-0.00086,1.360768,0.010804,0.003866,-0.02685,-0.01883,10.0,3.92875,3.222814
299,-0.00297,1.364401,0.008336,0.004658,0.009542,0.015340,15.0,3.977333,3.181173
399,0.005040,1.364717,0.014429,0.008517,0.033569,0.045284,24.0,4.10025,3.659880
499,-0.00185,1.366335,0.008878,0.005858,0.027199,0.033789,32.0,4.1782,4.039354
599,-0.00917,1.371852,0.003144,0.002790,0.016922,0.019257,36.0,4.143083,3.889438
699,-0.01030,1.377083,0.002529,0.001877,0.019370,0.021173,37.0,4.118214,3.452259
799,-0.01089,1.373195,0.001649,0.002368,0.015901,0.017314,43.0,4.159437,3.376514
899,-0.00867,1.377766,0.003784,0.002638,0.012218,0.014901,48.0,4.172055,3.407658
999,-0.01031,1.378031,0.002425,0.002084,0.015357,0.017094,49.0,4.20065,3.149811
1099,0.002623,1.360886,0.009897,0.012669,0.112147,0.119145,60.0,4.153681,3.583627
1199,-0.00465,1.376069,0.005807,0.006598,0.064256,0.067975,67.0,4.166666,3.694143
1299,-0.01218,1.384188,-8.82923,0.003486,0.046024,0.045961,72.0,4.196730,3.707149
1399,-0.00941,1.376893,0.001241,0.006231,0.070539,0.071499,81.0,4.203928,3.912316
1499,-0.01193,1.369331,0.000158,0.003205,0.041886,0.041945,85.0,4.1885,3.860092
1599,-0.00930,1.385376,0.001898,0.005302,0.063269,0.064530,91.0,4.184687,3.873718
1699,-0.00615,1.385508,0.004137,0.007127,0.092372,0.095287,101.0,4.194852,4.047921
1799,-0.01230,1.385441,-0.00054,0.004198,0.061541,0.061123,107.0,4.193111,4.060533
1899,-0.01062,1.385354,0.000804,0.004856,0.058142,0.058761,110.0,4.191315,3.952057
1999,-0.01449,1.384197,-0.00235,0.003401,0.057350,0.055620,116.0,4.20015,3.959943
2099,-0.01115,1.384695,0.001425,0.002532,0.028859,0.029851,120.0,4.202523,3.916472
2199,-0.01439,1.385231,-0.00130,0.001523,0.026588,0.025595,122.0,4.209159,3.805200
2299,-0.00306,1.384402,0.006351,0.008862,0.097358,0.101929,133.0,4.210065,3.900098
2399,-0.00159,1.352707,0.005830,0.012212,0.126222,0.131721,142.0,4.188625,3.942136
2499,0.004077,1.207717,0.008353,0.015602,0.177167,0.184815,161.0,4.2027,4.228247
2599,-0.02091,1.385763,-0.00833,0.002553,0.066692,0.060703,168.0,4.207173,4.251219
2699,-0.01231,1.384156,-0.00067,0.004419,0.064775,0.064352,174.0,4.210611,4.247905
2799,-0.00774,1.384524,0.003157,0.005884,0.067067,0.069402,179.0,4.195375,4.226832
2899,-0.00824,1.384491,0.002390,0.006427,0.078146,0.079835,188.0,4.207741,4.306898
2999,-0.00223,1.385092,0.005717,0.011805,0.146844,0.150798,200.0,4.20425,4.396412
3099,-0.01461,1.383256,-0.00437,0.007177,0.135571,0.132649,213.0,4.211951,4.510920
3199,-0.01088,1.383102,0.000915,0.004054,0.049487,0.050104,215.0,4.1985,4.421778
3299,-0.01018,1.382866,0.000258,0.006767,0.092271,0.092455,225.0,4.210909,4.513272
3399,-0.00378,1.381558,0.005681,0.008694,0.099025,0.102995,233.0,4.210720,4.538881
3499,-0.01268,1.383628,-0.00336,0.009030,0.137306,0.134921,243.0,4.208128,4.609559
3599,-0.01138,1.374844,-0.00056,0.005856,0.072569,0.072353,251.0,4.213819,4.632060
3699,-0.01284,1.380752,-0.00069,0.003327,0.048050,0.047565,254.0,4.212364,4.548027
3799,-0.01502,1.380540,-0.00225,0.002078,0.036148,0.034562,257.0,4.210986,4.488865
